"P" "V" "n" "T"
"s275" 2.28 1.02 40.6 0.696
"s276" 0.452 9.78 52.4 1.03
"s277" 1.18 5.77 66.8 1.24
"s278" 3.17 10.1 72.2 5.41
"s279" 0.83 5.51 6.17 9.02
"s280" 1.39 6.89 22 5.32
"s281" 1.26 3.81 20 2.93
"s282" 4.04 6.83 25.3 13.3
"s283" 2.45 13.8 50.3 8.17
"s284" 1.06 3.03 37.4 1.05
"s285" 3.35 15.8 19.3 33.4
"s286" 2.62 4.5 40.2 3.58
"s287" 1.44 9.61 49.7 3.38
"s288" 3.96 8.49 27.9 14.7
"s289" 2.41 19.8 73.7 7.87
"s290" 4.88 2.05 3.57 34.1
"s291" 0.944 9.72 24.3 4.61
"s292" 2.43 10.8 2.39 134
"s293" 0.914 19 63.9 3.3
"s294" 1.71 19.2 67.6 5.93
"s295" 1.33 8.35 48.1 2.81
"s296" 0.605 18.6 1.63 84
"s297" 2.37 3.89 45.8 2.45
"s298" 2.8 9.14 35.1 8.88
"s299" 2.06 17.2 23.9 18.1
"s300" 4.5 12.2 67.8 9.9
"s301" 3.73 15.9 51.4 14
"s302" 4.37 12.3 46.8 14
"s303" 4.36 4.58 30.4 8
"s304" 2.59 10.4 28.3 11.7
"s305" 1.05 1.31 12.2 1.37
"s306" 0.522 14.5 36.3 2.53
"s307" 3.35 18 30.8 23.9
"s308" 0.123 18.7 17.8 1.58
"s309" 1.3 7.56 9.21 13
"s310" 4.16 7.11 69 5.22
"s311" 3.76 11.2 67.8 7.6
"s312" 4.75 8.07 37.9 12.3
"s313" 2.25 19 22.4 23.4
"s314" 0.137 9.73 43.8 0.371
"s315" 4.81 4.72 65.7 4.2
"s316" 1.09 8.93 11.3 10.5
"s317" 4.99 8.89 29.4 18.4
"s318" 2.8 19.1 14.6 44.9
"s319" 0.831 13.1 61.1 2.18
"s320" 2.85 1.5 1.59 32.8
"s321" 4.48 9.11 54.2 9.18
"s322" 3.25 17.2 60.9 11.2
"s323" 2.9 17.6 52.2 11.9
"s324" 1.13 6.35 30.9 2.83
"s325" 3.74 19.3 15.3 57.6
"s326" 1.36 13.8 6.23 36.9
"s327" 4.46 6.73 59.6 6.14
"s328" 2.65 5 53 3.05
"s329" 0.412 8.72 66.9 0.654
"s330" 4.46 11.6 45 14
"s331" 4.8 17.7 72.2 14.3
"s332" 1.9 14.6 65.4 5.17
"s333" 2.51 15.3 25.2 18.5
"s334" 2.76 10.2 15.3 22.4
"s335" 0.993 14.4 57.4 3.04
"s336" 3.63 18.8 62.2 13.4
"s337" 2.1 18.3 71.9 6.54
"s338" 1.95 17.6 49.3 8.5
"s339" 0.253 2.42 32.7 0.229
"s340" 1.49 2.77 1.1 45.8
"s341" 2.79 11.2 27.8 13.7
"s342" 1.89 7.86 7.25 24.9
"s343" 1.77 9.88 59.6 3.58
"s344" 1.88 13 31.4 9.45
"s345" 1.03 5.59 39.4 1.78
"s346" 2.45 4.87 19.6 7.41
"s347" 1.15 15.8 24.2 9.14
"s348" 3.83 14.9 24.9 27.9
"s349" 2.49 6.98 44.3 4.78
"s350" 0.66 18.5 35.5 4.19
"s351" 4.77 8.87 1.59 324
"s352" 2.64 5.96 36 5.31
"s353" 1.04 2.25 45.2 0.631
"s354" 2.12 12.7 58.9 5.57
"s355" 0.508 12.5 0.956 80.6
"s356" 4.8 18 51.4 20.4
"s357" 3.53 14.3 55.6 11.1
"s358" 1.05 10.4 22.3 5.95
"s359" 4.26 12.2 30.5 20.8
"s360" 1.91 4.25 0.451 220
"s361" 2.81 16.5 59.1 9.57
"s362" 2.72 5 50 3.32
"s363" 3.15 10.4 43.5 9.17
"s364" 4.01 16.4 16.2 49.4
"s365" 0.19 11.4 59.4 0.447
"s366" 2.87 2.85 9.34 10.7
"s367" 2.61 14.9 64.6 7.37
"s368" 3.85 7.52 35.6 9.9
"s369" 2.44 13.1 0.746 523
"s370" 4.65 17 25.6 37.5
"s371" 0.788 9.56 72.3 1.27
"s372" 0.341 4.4 40.4 0.452
"s373" 2.28 11.9 64.6 5.12
"s374" 2.66 7.96 3.64 70.9
"s375" 1.01 13.9 73.9 2.31
"s376" 1.63 4.66 18.9 4.9
"s377" 1.76 6.11 74.4 1.76
"s378" 1.68 16.5 34.7 9.72
"s379" 0.865 15.3 69.3 2.33
"s380" 4.68 5.72 62 5.26
"s381" 4.13 10.4 53 9.88
"s382" 0.704 12.8 57.3 1.92
"s383" 4.72 8.47 66.5 7.33
"s384" 3.79 19.6 45.6 19.9
"s385" 1.31 18.7 3.84 77.7
"s386" 0.952 6.76 46.3 1.69
"s387" 0.676 10.4 31.6 2.72
"s388" 2.46 8.61 58.7 4.39
"s389" 0.626 1.01 16 0.482
"s390" 1.02 6.97 49.4 1.75
"s391" 0.959 6.07 37.2 1.91
"s392" 2.33 11.6 54.3 6.08
"s393" 4.56 19.8 46.1 23.9
"s394" 3.58 5.09 68.2 3.25
"s395" 0.41 15.3 47.3 1.61
"s396" 1.55 11.6 41.8 5.25
"s397" 1.05 1.86 69.1 0.346
"s398" 0.381 3.08 59.1 0.242
"s399" 1.71 16.5 40.1 8.59
"s400" 0.768 12.6 53.4 2.21
"s401" 2.2 19.8 26.1 20.4
"s402" 4.67 18.4 50.9 20.6
"s403" 3.97 15.9 3.11 248
"s404" 0.749 9.97 31.6 2.88
"s405" 1.95 13.5 11.1 28.8
"s406" 2.7 4.65 55.7 2.74
"s407" 2.32 4.15 64.6 1.81
"s408" 1.99 17.2 73.7 5.65
"s409" 1.89 15.4 34.6 10.2
"s410" 2.41 19.3 22.6 25.1
"s411" 0.191 3.69 51.2 0.167
"s412" 4.6 15.5 41 21.2
"s413" 2.61 3.33 1.12 94.6
"s414" 4.73 15.8 63.8 14.3
"s415" 4.04 3.56 11.1 15.9
"s416" 2.47 5.39 56.6 2.86
"s417" 3.48 19.4 35.1 23.4
"s418" 3.34 16.7 54.4 12.5
"s419" 3.67 17.5 44.4 17.6
"s420" 2.44 6.71 29 6.87
"s421" 4.02 12.7 61.4 10.1
"s422" 4.29 9.27 4.63 105
"s423" 1.66 4.63 43.5 2.16
"s424" 3.62 14.4 58.5 10.9
"s425" 1.21 13.7 46.4 4.35
"s426" 3.23 13.1 45.8 11.3
"s427" 1.82 6.7 61.2 2.43
"s428" 4.73 18.7 7.7 140
"s429" 1.56 8.27 71.9 2.19
"s430" 0.94 11.5 29.7 4.44
"s431" 4.65 12.1 54.9 12.5
"s432" 4.02 16.3 51.3 15.6
"s433" 0.834 16.6 43.1 3.91
"s434" 2.71 18.5 26.5 23
"s435" 0.2 1.76 71.5 0.0601
"s436" 3.88 7.38 56.3 6.2
"s437" 1.27 7.01 5.86 18.5
"s438" 2.62 7.47 68.8 3.47
"s439" 0.638 8.98 19 3.67
"s440" 3.86 17.6 60 13.8
"s441" 2 12.9 48 6.56
"s442" 0.814 15.6 0.406 382
"s443" 3.75 6.14 53.3 5.26
"s444" 4.5 4.93 23.2 11.7
"s445" 3.71 17 19.1 40.2
"s446" 3.6 2.74 11.9 10.1
"s447" 0.957 10.5 3.03 40.5
"s448" 4.37 11.8 44.9 14
"s449" 2.61 16 64.3 7.93
"s450" 4.47 17.7 61.4 15.7
"s451" 4.67 11.6 65.1 10.1
"s452" 2.48 19 44.8 12.8
"s453" 1.29 11.1 3.61 48.4
"s454" 1.84 7.31 36.3 4.53
"s455" 1.02 7.19 29.9 2.99
"s456" 0.561 11.7 47.6 1.68
"s457" 4.51 14.7 70.6 11.5
"s458" 0.661 1.14 58.9 0.155
"s459" 1 11.6 64.2 2.2
"s460" 1.48 5.32 13.8 6.94
"s461" 4.34 10.1 39.8 13.4
"s462" 4.05 6.65 61.8 5.32
"s463" 4.71 8.16 34.9 13.4
"s464" 2.24 8.99 45.9 5.35
"s465" 4.25 11.9 33.8 18.2
"s466" 2.36 8.84 30.8 8.25
"s467" 4.78 13.3 23.8 32.6
"s468" 3.78 8.2 24.4 15.5
"s469" 2.86 18.3 54.2 11.8
"s470" 1.78 14.9 69.2 4.67
"s471" 3.95 17.7 15.2 56
"s472" 1 14.9 26.5 6.88
"s473" 3.58 3.79 45.9 3.6
"s474" 2.79 5.97 54.8 3.71
"s475" 4.65 4.68 24.3 10.9
"s476" 1.26 13.5 52.3 3.96
"s477" 0.716 15.9 2.55 54.3
"s478" 3.52 17 7.62 95.6
"s479" 2.76 15.3 69.5 7.39
"s480" 3.66 1.68 25.8 2.9
"s481" 2.63 17.2 37.7 14.6
"s482" 1.58 16.2 74.1 4.2
"s483" 2.67 6.53 12.7 16.8
"s484" 0.259 18.4 58.4 0.997
"s485" 3.39 13.9 56.3 10.2
"s486" 3.41 16.3 20.1 33.8
"s487" 0.301 16 46.8 1.26
"s488" 2.84 4.4 21.4 7.12
"s489" 4.35 6.92 57.4 6.39
"s490" 3.82 17 67.3 11.8
"s491" 2.41 4.71 9.5 14.6
"s492" 3.34 16.1 13.7 48.1
"s493" 2.17 15.9 18.7 22.4
"s494" 3.07 3.17 62.7 1.9
"s495" 1.64 15.5 60.9 5.07
"s496" 4.25 2.72 65.7 2.14
"s497" 0.476 7.45 21.2 2.04
"s498" 4.04 6.46 15.7 20.3
"s499" 4.02 4.1 11.9 16.9
"s500" 0.597 5.62 58.8 0.696
"s501" 0.87 18.7 24.4 8.1
"s502" 1.54 8.2 18.1 8.5
"s503" 1.78 8.29 18.4 9.81
"s504" 2.2 5.8 25 6.24
"s505" 0.79 4.07 26.5 1.48
"s506" 0.322 12.4 22.5 2.17
"s507" 2.55 18.3 22.6 25.1
"s508" 3.98 13.8 8.85 75.5
"s509" 0.804 17.8 1.09 160
"s510" 4.94 6.07 46.6 7.82
"s511" 3.14 9.32 13.4 26.5
"s512" 1.69 17.3 53.6 6.63
"s513" 4.65 11.6 64.6 10.2
"s514" 0.931 8.28 43.4 2.17
"s515" 1.61 7.08 69 2.01
"s516" 1.41 14.7 33.4 7.53
"s517" 0.812 8.19 27.7 2.93
"s518" 1.58 7.98 38.3 4.01
"s519" 1.03 16.1 63.8 3.18
"s520" 2.98 3.13 22.3 5.1
"s521" 4.34 7.05 22.1 16.9
"s522" 3.82 1.46 17.9 3.82
"s523" 0.185 8.44 16.8 1.13
"s524" 0.817 14 26.4 5.29
"s525" 3.66 10.2 23.8 19.2
"s526" 4.19 17 41.1 21.1
"s527" 2.06 7.37 53.9 3.44
"s528" 1.93 2.77 37.7 1.73
"s529" 2.56 5.27 61.1 2.7
"s530" 4.21 11.7 13.6 44.4
"s531" 4.98 17.4 70.4 15
"s532" 0.656 6.91 31.3 1.76
"s533" 2.67 12.5 51.2 7.94
"s534" 3.64 7 11.3 27.5
"s535" 3.35 16.8 64.4 10.7
"s536" 2.76 10.4 73.5 4.76
"s537" 3.39 6.24 24.6 10.5
"s538" 1.24 4.73 48.3 1.48
"s539" 2.93 17.1 46.2 13.2
"s540" 4.89 19.4 61.8 18.7
"s541" 3.46 5.66 7.53 31.7
"s542" 2.52 5.76 45.5 3.89
"s543" 4.47 3.5 5.26 36.2
"s544" 2.07 13.2 30.2 11
"s545" 1.27 18 5.68 48.8
"s546" 1.27 9.59 31.4 4.72
"s547" 4.18 5.53 48.7 5.78
"s548" 1.67 11.4 56.6 4.1
"s549" 0.177 8.61 72.6 0.256
"s550" 3 6.18 71.7 3.16
"s551" 3.68 13.9 71.1 8.78
"s552" 0.993 17.7 24.7 8.68
"s553" 0.881 4.34 4.86 9.59
"s554" 3.01 14.1 71.6 7.19
"s555" 1.36 3.41 34.4 1.65
"s556" 0.202 19.6 54.3 0.889
"s557" 0.632 10.9 66.3 1.26
"s558" 2.45 16.5 34.4 14.4
"s559" 2.59 18.9 23 26
"s560" 0.626 11.8 69.4 1.29
"s561" 4.3 2.5 33 3.97
"s562" 1.36 19.8 51.3 6.39
"s563" 1.11 18.1 23.4 10.5
"s564" 2.9 3.83 55.6 2.43
"s565" 4.82 18.9 66.8 16.6
"s566" 3.85 8.16 11 34.9
"s567" 3.78 5.5 7.96 31.8
"s568" 0.109 18.1 50.3 0.479
"s569" 1.5 19.1 59.7 5.87
"s570" 0.912 7.37 45.4 1.8
"s571" 1.74 13.9 64.8 4.53
"s572" 0.216 6.49 55.3 0.309
"s573" 4.44 17.3 45.4 20.6
"s574" 1.09 8.79 18.8 6.21
"s575" 4.45 3.4 17.9 10.3
"s576" 1.88 5.92 35.8 3.79
"s577" 3.58 3.44 45.2 3.32
"s578" 3.24 11.6 61.4 7.43
"s579" 2.1 7.75 65.6 3.02
"s580" 4.68 16.3 4.37 213
"s581" 4.92 12.3 66.6 11.1
"s582" 4.27 1.57 52.1 1.57
"s583" 2.26 16 38.6 11.5
"s584" 4.72 18.2 62.7 16.7
"s585" 4.08 1.75 23.3 3.73
"s586" 3.04 16 14.9 39.9
"s587" 4.66 14.6 39.7 20.8
"s588" 4.19 2.19 11.6 9.65
"s589" 1.5 12.6 27.8 8.29
"s590" 2.46 17.3 7.34 70.7
"s591" 0.67 4.56 53.5 0.697
"s592" 0.12 12.2 60.2 0.297
"s593" 4.38 13.5 52.3 13.8
"s594" 4.05 17.4 74.6 11.5
"s595" 3.42 3.14 22.4 5.84
"s596" 3.04 9.16 71.6 4.74
"s597" 2.77 3.73 45.5 2.76
"s598" 4.3 9.87 42.5 12.2
"s599" 4.93 3.59 64.2 3.35
"s600" 2.24 12.1 63.6 5.19
"s601" 1.57 10.1 42.7 4.54
"s602" 1.03 14.7 26.2 7.07
"s603" 1.49 13.6 40.9 6
"s604" 2.89 15.3 59.2 9.09
"s605" 3.61 11.4 35.2 14.2
"s606" 0.169 18.7 67.5 0.573
"s607" 4.44 9.16 20.9 23.8
"s608" 3.26 14.2 54.6 10.3
"s609" 2.59 2.42 17.5 4.36
"s610" 1.52 18 72.7 4.59
"s611" 1.31 14.7 10.4 22.5
"s612" 3.91 7.02 11.1 30.2
"s613" 0.219 2.87 20.9 0.366
"s614" 4.07 1.7 45.1 1.87
"s615" 2.62 4.87 41.4 3.76
"s616" 2.47 7.54 31.7 7.15
"s617" 3.78 2.63 47.5 2.55
"s618" 0.983 3.18 24.8 1.53
"s619" 2.49 13.9 46.8 9.02
"s620" 3.39 9.68 40.8 9.8
"s621" 2.84 16.2 73 7.69
"s622" 0.851 13.9 71.4 2.01
"s623" 0.88 3.5 1.47 25.5
"s624" 3.34 19.3 46.7 16.8
"s625" 4.83 3.08 37.9 4.8
"s626" 4.7 4.35 31.7 7.88
"s627" 2.99 9.55 42.6 8.16
"s628" 1.49 9.44 57.6 2.96
"s629" 2.9 16.4 4.35 134
"s630" 4.9 7.84 62.4 7.5
"s631" 2.39 9.77 23.1 12.3
"s632" 2.8 17 23.1 25.1
"s633" 2.91 8.65 16.8 18.3
"s634" 0.213 4.2 39 0.28
"s635" 3.26 12.2 72.9 6.65
"s636" 2.95 2.84 12.4 8.22
"s637" 4.53 11 15.1 40.2
"s638" 0.668 17.4 10.6 13.4
"s639" 4.09 15.2 39.3 19.3
"s640" 3.87 13.1 45.3 13.7
"s641" 2.57 12.6 0.845 466
"s642" 0.438 3.62 33.4 0.577
"s643" 3.3 17.9 34.8 20.7
"s644" 3.31 1.7 43.7 1.58
"s645" 0.54 8.22 51.9 1.04
"s646" 1.66 6.73 8.96 15.2
"s647" 3.71 12.2 45.6 12.1
"s648" 2.28 19.3 69 7.75
"s649" 3.76 15.9 49.9 14.6
"s650" 4.49 11.8 34.4 18.8
"s651" 1.15 2.66 11.8 3.15
"s652" 2.44 14 26.5 15.7
"s653" 3.43 19 28.7 27.6
"s654" 4.6 17 69.4 13.7
"s655" 2.82 10.6 31 11.7
"s656" 0.548 5.37 52 0.689
"s657" 2.47 16.8 64.9 7.79
"s658" 0.655 7.64 51 1.2
"s659" 2.59 9.98 43.4 7.25
"s660" 1.83 12.1 13.2 20.4
"s661" 1.52 14.8 41.2 6.65
"s662" 3.86 9.07 42.8 9.96
"s663" 4.3 6.95 4.05 90
"s664" 0.91 2.04 1.21 18.7
"s665" 0.746 4.67 44.8 0.948
"s666" 0.521 2.8 67.1 0.265
"s667" 2.77 17.5 16.6 35.6
"s668" 3.12 6.56 10.6 23.5
"s669" 1.3 7.66 54.9 2.21
"s670" 1.89 8.95 47.7 4.33
"s671" 4.48 13.9 70.5 10.8
"s672" 1.38 6.02 32 3.17
"s673" 2.1 4.19 43.2 2.48
"s674" 3.39 1.5 14 4.42
"s675" 4.61 13.9 59.1 13.2
"s676" 1.84 13.9 6.39 49
"s677" 0.837 2.2 66.4 0.339
"s678" 2.05 2.59 69 0.94
"s679" 0.45 13.2 28.9 2.51
"s680" 5 17.5 50 21.3
